Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
131,IPFW,30,11,19,.367,-8.79,-2.05,5,13,8,5,3,13,2100,2242,69.7,100.1,.371,.297,.533,51.2,54.2,9.0,6.2,.500,18.2,31.0,.253
132,IUPUI,32,14,18,.438,-3.85,-1.75,7,11,9,5,3,12,2319,2329,66.4,107.8,.345,.284,.539,49.3,45.8,10.1,7.2,.493,15.1,34.7,.268
133,Jackson State,31,7,24,.226,-17.50,-7.00,5,13,4,7,2,16,1737,2042,63.2,87.2,.334,.251,.462,48.5,41.7,11.2,8.5,.422,20.3,33.7,.227
134,Jacksonville State,33,15,18,.455,-4.86,-5.23,8,8,9,4,3,10,2143,2106,65.1,99.0,.421,.303,.507,49.7,53.3,11.2,10.2,.466,17.5,33.5,.286
135,Jacksonville,30,8,22,.267,-7.30,0.10,6,12,5,6,3,15,1951,2173,66.8,96.5,.350,.281,.495,49.8,51.4,10.9,8.6,.463,18.7,36.3,.230
136,James Madison,32,12,20,.375,-5.86,-2.11,5,13,5,9,5,9,2115,2235,66.2,99.1,.314,.381,.519,46.2,57.2,10.0,7.6,.492,17.0,29.1,.209
137,Kansas State,33,22,11,.667,14.47,7.53,10,8,11,4,6,4,2343,2114,67.0,104.8,.432,.295,.526,53.4,57.6,8.9,12.0,.489,17.7,40.7,.290
138,Kansas,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,67.3,108.8,.398,.296,.556,53.9,57.4,10.8,14.5,.523,16.6,34.9,.275
139,Kennesaw State,31,3,28,.097,-15.02,-0.49,0,18,1,11,1,16,1920,2330,64.4,94.3,.319,.363,.501,44.8,54.1,9.4,5.4,.477,18.4,28.7,.199
140,Kent State,33,21,12,.636,2.77,-0.95,10,6,12,3,7,7,2322,2178,67.6,103.7,.365,.315,.539,49.6,58.7,12.5,10.2,.507,17.9,33.7,.252
141,Kentucky,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,66.3,116.6,.417,.265,.575,54.8,48.4,9.1,20.8,.538,14.5,37.9,.302
142,La Salle,34,21,13,.618,8.56,1.83,9,7,14,3,6,8,2478,2249,68.6,105.4,.298,.337,.560,47.4,55.2,11.7,8.9,.532,16.8,27.3,.215
143,Lafayette,31,13,18,.419,-7.20,-4.01,7,7,6,7,7,11,2161,2260,66.5,104.8,.343,.445,.563,45.5,53.3,7.9,8.7,.524,17.1,23.8,.262
144,Lamar,35,23,12,.657,2.41,-3.77,11,5,12,2,8,9,2573,2296,68.7,106.6,.410,.218,.516,53.6,49.7,11.7,9.4,.469,14.5,37.8,.295
145,Lehigh,35,27,8,.771,4.27,-5.14,11,3,12,1,12,6,2648,2288,68.1,110.3,.378,.358,.553,51.1,50.6,11.2,8.1,.507,14.2,31.7,.291
146,Liberty,32,14,18,.438,-9.67,-4.81,9,9,9,7,5,9,2201,2283,66.4,103.2,.356,.221,.526,51.1,54.1,7.9,5.5,.488,15.7,32.7,.254
147,Lipscomb,31,13,18,.419,-4.70,-1.23,8,10,6,7,5,11,2242,2303,71.1,100.1,.342,.344,.521,47.8,54.6,10.0,6.8,.496,18.0,31.2,.218
